"Nest" "FoodTreatment" "SexParent" "ArrivalTime" "SiblingNegotiation" "BroodSize" "NegPerChick"
"123" "CorcellesFavres" "Satiated" "Male" 29.11 20 3 6.66666667
"124" "Etrabloz" "Deprived" "Male" 22.01 4 5 0.8
"125" "Etrabloz" "Deprived" "Female" 22.15 4 5 0.8
"126" "Etrabloz" "Deprived" "Male" 22.26 14 5 2.8
"127" "Etrabloz" "Satiated" "Female" 22.46 0 5 0
"128" "Etrabloz" "Satiated" "Female" 22.51 0 5 0
"129" "Etrabloz" "Deprived" "Female" 22.7 9 5 1.8
"130" "Etrabloz" "Deprived" "Male" 22.85 14 5 2.8
"131" "Etrabloz" "Deprived" "Male" 23.13 6 5 1.2
"132" "Etrabloz" "Satiated" "Male" 23.3 2 5 0.4
"133" "Etrabloz" "Deprived" "Male" 23.31 8 5 1.6
"134" "Etrabloz" "Deprived" "Female" 23.7 2 5 0.4
"135" "Etrabloz" "Satiated" "Male" 23.73 0 5 0
"136" "Etrabloz" "Deprived" "Male" 23.76 5 5 1
"137" "Etrabloz" "Deprived" "Female" 23.81 5 5 1
"138" "Etrabloz" "Satiated" "Male" 24.05 0 5 0
"139" "Etrabloz" "Satiated" "Female" 24.38 0 5 0
"140" "Etrabloz" "Satiated" "Female" 24.43 0 5 0
"141" "Etrabloz" "Satiated" "Female" 24.58 0 5 0
"142" "Etrabloz" "Deprived" "Female" 24.65 0 5 0
"143" "Etrabloz" "Satiated" "Female" 25.05 0 5 0
"144" "Etrabloz" "Satiated" "Female" 25.61 0 5 0
"145" "Etrabloz" "Deprived" "Female" 25.61 1 5 0.2
"146" "Etrabloz" "Satiated" "Male" 26.28 0 5 0
"147" "Etrabloz" "Deprived" "Female" 26.33 5 5 1
"148" "Etrabloz" "Deprived" "Female" 26.48 5 5 1
"149" "Etrabloz" "Deprived" "Female" 26.85 1 5 0.2
"150" "Etrabloz" "Deprived" "Female" 27.5 10 5 2
"151" "Etrabloz" "Deprived" "Male" 27.55 8 5 1.6
"152" "Etrabloz" "Satiated" "Female" 28.26 2 5 0.4
"153" "Etrabloz" "Deprived" "Male" 28.35 10 5 2
"154" "Etrabloz" "Deprived" "Male" 28.7 2 5 0.4
"155" "Etrabloz" "Deprived" "Male" 28.81 13 5 2.6
"156" "Etrabloz" "Deprived" "Male" 28.9 13 5 2.6
"157" "Etrabloz" "Deprived" "Male" 29.25 13 5 2.6
"158" "Forel" "Satiated" "Male" 23.25 0 4 0
"159" "Forel" "Deprived" "Male" 23.92 1 4 0.25
"160" "Forel" "Satiated" "Male" 24.26 0 4 0
"161" "Forel" "Satiated" "Male" 24.3 0 4 0
"162" "Franex" "Satiated" "Male" 22.36 0 4 0
"163" "Franex" "Satiated" "Male" 22.45 0 4 0
"164" "Franex" "Deprived" "Female" 22.66 19 4 4.75
"165" "Franex" "Deprived" "Male" 22.68 19 4 4.75
"166" "Franex" "Deprived" "Male" 22.75 19 4 4.75
"167" "Franex" "Deprived" "Female" 22.76 8 4 2
"168" "Franex" "Deprived" "Female" 23.05 9 4 2.25
"169" "Franex" "Deprived" "Male" 23.48 1 4 0.25
"170" "Franex" "Deprived" "Male" 23.65 4 4 1
"171" "Franex" "Deprived" "Male" 23.8 3 4 0.75
"172" "Franex" "Deprived" "Male" 23.9 3 4 0.75
"173" "Franex" "Deprived" "Male" 24.05 6 4 1.5
"174" "Franex" "Deprived" "Female" 24.08 6 4 1.5
"175" "Franex" "Deprived" "Male" 24.25 6 4 1.5
"176" "Franex" "Satiated" "Female" 24.58 0 4 0
"177" "Franex" "Satiated" "Female" 24.68 0 4 0
"178" "Franex" "Satiated" "Male" 24.73 0 4 0
"179" "Franex" "Satiated" "Male" 25.11 3 4 0.75
"180" "Franex" "Deprived" "Male" 25.26 0 4 0
"181" "Franex" "Deprived" "Male" 26.36 4 4 1
"182" "Franex" "Deprived" "Male" 26.6 4 4 1
"183" "Franex" "Deprived" "Male" 26.71 4 4 1
"184" "Franex" "Deprived" "Male" 26.95 14 4 3.5
"185" "Franex" "Satiated" "Male" 27.1 5 4 1.25
"186" "Franex" "Deprived" "Female" 27.25 8 4 2
"187" "Franex" "Deprived" "Male" 27.38 16 4 4
"188" "GDLV" "Deprived" "Male" 22.46 6 5 1.2
"189" "GDLV" "Deprived" "Female" 22.83 9 5 1.8
"190" "GDLV" "Satiated" "Male" 22.91 1 5 0.2
"191" "GDLV" "Deprived" "Male" 23.08 11 5 2.2
"192" "GDLV" "Deprived" "Male" 23.75 11 5 2.2
"193" "GDLV" "Deprived" "Male" 23.91 12 5 2.4
"194" "GDLV" "Deprived" "Male" 25.26 12 5 2.4
"195" "GDLV" "Satiated" "Male" 25.56 2 5 0.4
"196" "GDLV" "Deprived" "Female" 26.85 9 5 1.8
"197" "GDLV" "Satiated" "Male" 28.78 0 5 0
"198" "Gletterens" "Deprived" "Female" 23.15 16 2 8
"199" "Gletterens" "Deprived" "Female" 23.25 16 2 8
"200" "Gletterens" "Satiated" "Female" 23.8 3 2 1.5
"201" "Gletterens" "Deprived" "Female" 24.05 0 2 0
"202" "Gletterens" "Deprived" "Female" 24.53 0 2 0
"203" "Gletterens" "Deprived" "Male" 24.55 0 2 0
"204" "Gletterens" "Satiated" "Male" 24.81 0 2 0
"205" "Gletterens" "Deprived" "Female" 24.85 5 2 2.5
"206" "Gletterens" "Satiated" "Female" 25.1 9 2 4.5
"207" "Gletterens" "Deprived" "Female" 25.8 10 2 5
"208" "Gletterens" "Deprived" "Male" 26.3 3 2 1.5
"209" "Gletterens" "Deprived" "Male" 27.23 0 2 0
"210" "Gletterens" "Satiated" "Female" 27.4 0 2 0
"211" "Gletterens" "Deprived" "Male" 27.61 0 2 0
"212" "Gletterens" "Deprived" "Male" 28.78 2 2 1
"213" "Henniez" "Deprived" "Female" 22.51 6 2 3
"214" "Henniez" "Deprived" "Female" 22.63 6 2 3
"215" "Henniez" "Satiated" "Female" 22.68 2 2 1
"216" "Henniez" "Satiated" "Female" 22.76 17 2 8.5
"217" "Henniez" "Deprived" "Female" 22.91 3 2 1.5
"218" "Henniez" "Satiated" "Female" 23.06 0 2 0
"219" "Henniez" "Satiated" "Female" 23.28 0 2 0
"220" "Henniez" "Deprived" "Female" 23.81 0 2 0
"221" "Henniez" "Satiated" "Female" 23.96 0 2 0
"222" "Henniez" "Deprived" "Female" 25.88 0 2 0
"223" "Henniez" "Deprived" "Female" 26.78 0 2 0
"224" "Henniez" "Deprived" "Female" 27.63 0 2 0
"225" "Henniez" "Satiated" "Female" 28.26 0 2 0
"226" "Jeuss" "Satiated" "Male" 22.66 3 5 0.6
"227" "Jeuss" "Deprived" "Female" 23.11 9 5 1.8
"228" "Jeuss" "Satiated" "Male" 23.16 0 5 0
"229" "Jeuss" "Satiated" "Female" 23.41 0 5 0
"230" "Jeuss" "Deprived" "Male" 25.58 12 5 2.4
"231" "Jeuss" "Satiated" "Male" 25.9 0 5 0
"232" "Jeuss" "Deprived" "Male" 25.93 2 5 0.4
"233" "Jeuss" "Deprived" "Female" 26.16 11 5 2.2
"234" "Jeuss" "Deprived" "Male" 26.33 5 5 1
"235" "Jeuss" "Deprived" "Male" 26.56 3 5 0.6
"236" "Jeuss" "Satiated" "Female" 26.6 0 5 0
"237" "Jeuss" "Deprived" "Female" 26.75 3 5 0.6
"238" "Jeuss" "Deprived" "Male" 26.83 3 5 0.6
"239" "Jeuss" "Satiated" "Female" 26.98 0 5 0
"240" "Jeuss" "Satiated" "Male" 27.48 0 5 0
"241" "Jeuss" "Deprived" "Female" 27.51 0 5 0
"242" "Jeuss" "Satiated" "Female" 28 0 5 0
"243" "Jeuss" "Satiated" "Male" 28.8 0 5 0
"244" "Jeuss" "Deprived" "Male" 28.98 2 5 0.4
"245" "LesPlanches" "Satiated" "Male" 21.78 0 3 0
"246" "LesPlanches" "Satiated" "Male" 21.81 0 3 0
"247" "LesPlanches" "Deprived" "Male" 22.3 3 3 1
"248" "LesPlanches" "Satiated" "Male" 22.31 0 3 0
"249" "LesPlanches" "Satiated" "Male" 22.51 10 3 3.33333333
"250" "LesPlanches" "Deprived" "Male" 22.63 10 3 3.33333333
"251" "LesPlanches" "Deprived" "Male" 23.06 10 3 3.33333333
"252" "LesPlanches" "Satiated" "Male" 23.38 0 3 0
"253" "LesPlanches" "Satiated" "Male" 23.41 0 3 0
"254" "LesPlanches" "Satiated" "Male" 23.68 11 3 3.66666667
"255" "LesPlanches" "Deprived" "Male" 24.03 0 3 0
"256" "LesPlanches" "Satiated" "Male" 24.43 0 3 0
"257" "LesPlanches" "Deprived" "Male" 26.55 0 3 0
"258" "LesPlanches" "Deprived" "Female" 26.76 0 3 0
"259" "LesPlanches" "Deprived" "Male" 27.45 0 3 0
"260" "LesPlanches" "Deprived" "Male" 27.6 11 3 3.66666667
"261" "LesPlanches" "Deprived" "Male" 28.26 6 3 2
"262" "Lucens" "Satiated" "Male" 22.36 9 4 2.25
"263" "Lucens" "Deprived" "Female" 22.38 23 4 5.75
"264" "Lucens" "Deprived" "Male" 22.68 15 4 3.75
"265" "Lucens" "Satiated" "Male" 22.76 2 4 0.5
"266" "Lucens" "Deprived" "Male" 22.81 12 4 3
"267" "Lucens" "Deprived" "Male" 22.9 12 4 3
"268" "Lucens" "Deprived" "Male" 22.98 12 4 3
"269" "Lucens" "Satiated" "Female" 23.03 0 4 0
"270" "Lucens" "Deprived" "Female" 23.38 0 4 0
"271" "Lucens" "Deprived" "Female" 23.45 0 4 0
"272" "Lucens" "Deprived" "Female" 23.51 14 4 3.5
"273" "Lucens" "Deprived" "Male" 23.56 14 4 3.5
"274" "Lucens" "Deprived" "Female" 23.6 14 4 3.5
"275" "Lucens" "Deprived" "Male" 24.25 2 4 0.5
"276" "Lucens" "Satiated" "Male" 25.05 13 4 3.25
"277" "Lucens" "Deprived" "Female" 25.1 0 4 0
"278" "Lucens" "Deprived" "Female" 25.36 1 4 0.25
"279" "Lucens" "Satiated" "Male" 26.2 0 4 0
"280" "Lucens" "Deprived" "Male" 26.5 4 4 1
"281" "Lucens" "Deprived" "Female" 26.61 8 4 2
"282" "Lucens" "Deprived" "Male" 26.81 1 4 0.25
"283" "Lucens" "Satiated" "Male" 26.85 0 4 0
"284" "Lucens" "Deprived" "Male" 27.08 4 4 1
"285" "Lucens" "Satiated" "Female" 27.16 0 4 0
"286" "Lucens" "Deprived" "Female" 27.53 5 4 1.25
"287" "Lucens" "Deprived" "Female" 28.03 8 4 2
"288" "Lucens" "Satiated" "Female" 28.13 9 4 2.25
"289" "Lucens" "Satiated" "Male" 28.26 7 4 1.75
"290" "Lucens" "Deprived" "Male" 28.4 7 4 1.75
"291" "Lully" "Deprived" "Male" 22.31 16 4 4
"292" "Lully" "Deprived" "Female" 22.51 13 4 3.25
"293" "Lully" "Deprived" "Male" 22.55 13 4 3.25
"294" "Lully" "Deprived" "Male" 22.98 15 4 3.75
"295" "Lully" "Deprived" "Male" 23.01 14 4 3.5
"296" "Lully" "Deprived" "Male" 23.15 14 4 3.5
"297" "Lully" "Satiated" "Female" 23.25 6 4 1.5
"298" "Lully" "Deprived" "Female" 23.63 15 4 3.75
"299" "Lully" "Deprived" "Male" 23.66 15 4 3.75
"300" "Lully" "Satiated" "Male" 23.7 6 4 1.5
"301" "Lully" "Deprived" "Female" 24.4 0 4 0
"302" "Lully" "Satiated" "Male" 24.85 1 4 0.25
"303" "Lully" "Deprived" "Female" 25.13 0 4 0
"304" "Lully" "Satiated" "Male" 26.78 9 4 2.25
"305" "Lully" "Satiated" "Male" 26.93 9 4 2.25
"306" "Lully" "Satiated" "Male" 27.31 3 4 0.75
"307" "Lully" "Deprived" "Male" 28.58 2 4 0.5
"308" "Marnand" "Deprived" "Male" 22.28 12 4 3
"309" "Marnand" "Satiated" "Female" 22.53 6 4 1.5
"310" "Marnand" "Satiated" "Male" 22.65 6 4 1.5
"311" "Marnand" "Deprived" "Male" 22.73 13 4 3.25
"312" "Marnand" "Deprived" "Female" 22.98 28 4 7
"313" "Marnand" "Satiated" "Male" 23.35 0 4 0
"314" "Marnand" "Deprived" "Female" 23.4 6 4 1.5
"315" "Marnand" "Deprived" "Male" 23.86 0 4 0
"316" "Marnand" "Satiated" "Male" 24.23 3 4 0.75
"317" "Marnand" "Satiated" "Female" 24.31 2 4 0.5
"318" "Marnand" "Deprived" "Male" 24.41 4 4 1
"319" "Marnand" "Deprived" "Female" 24.48 4 4 1
"320" "Marnand" "Satiated" "Female" 24.58 8 4 2
"321" "Marnand" "Satiated" "Male" 24.63 8 4 2
"322" "Marnand" "Deprived" "Female" 25.13 13 4 3.25
"323" "Marnand" "Deprived" "Male" 25.53 7 4 1.75
"324" "Marnand" "Deprived" "Male" 25.58 4 4 1
"325" "Marnand" "Satiated" "Female" 25.63 0 4 0
"326" "Marnand" "Satiated" "Female" 25.68 0 4 0
"327" "Marnand" "Satiated" "Male" 25.86 12 4 3
"328" "Marnand" "Deprived" "Male" 25.96 4 4 1
"329" "Marnand" "Deprived" "Male" 26.06 17 4 4.25
"330" "Marnand" "Satiated" "Male" 26.38 7 4 1.75
"331" "Marnand" "Deprived" "Male" 26.53 5 4 1.25
"332" "Marnand" "Satiated" "Male" 26.76 1 4 0.25
"333" "Marnand" "Deprived" "Male" 27.38 0 4 0
"334" "Marnand" "Deprived" "Male" 27.46 0 4 0
"335" "Montet" "Satiated" "Male" 22.7 6 5 1.2
"336" "Montet" "Deprived" "Male" 22.95 15 5 3
"337" "Montet" "Deprived" "Male" 23.11 17 5 3.4
"338" "Montet" "Deprived" "Male" 23.33 10 5 2
"339" "Montet" "Satiated" "Female" 23.55 2 5 0.4
"340" "Montet" "Deprived" "Male" 23.6 15 5 3
"341" "Montet" "Satiated" "Male" 23.63 2 5 0.4
"342" "Montet" "Deprived" "Male" 23.81 10 5 2
"343" "Montet" "Satiated" "Male" 24.05 0 5 0
"344" "Montet" "Deprived" "Male" 24.06 7 5 1.4
"345" "Montet" "Deprived" "Male" 24.08 7 5 1.4
"346" "Montet" "Deprived" "Male" 24.2 7 5 1.4
"347" "Montet" "Deprived" "Male" 24.3 15 5 3
"348" "Montet" "Satiated" "Male" 24.35 5 5 1
"349" "Montet" "Satiated" "Male" 24.43 5 5 1
"350" "Montet" "Deprived" "Male" 24.48 15 5 3
"351" "Montet" "Deprived" "Male" 24.61 19 5 3.8
"352" "Montet" "Satiated" "Male" 24.66 0 5 0
"353" "Montet" "Deprived" "Male" 24.7 19 5 3.8
"354" "Montet" "Satiated" "Male" 24.81 12 5 2.4
"355" "Montet" "Deprived" "Male" 24.85 10 5 2
"356" "Montet" "Satiated" "Male" 24.9 12 5 2.4
"357" "Montet" "Deprived" "Male" 24.96 10 5 2
"358" "Montet" "Deprived" "Male" 25.03 20 5 4
"359" "Montet" "Deprived" "Male" 25.1 20 5 4
"360" "Montet" "Satiated" "Female" 25.36 7 5 1.4
"361" "Montet" "Satiated" "Male" 25.38 7 5 1.4
"362" "Montet" "Satiated" "Male" 25.55 22 5 4.4
"363" "Montet" "Satiated" "Male" 25.73 22 5 4.4
"364" "Montet" "Deprived" "Male" 25.9 4 5 0.8
"365" "Montet" "Deprived" "Female" 26.55 14 5 2.8
"366" "Montet" "Deprived" "Male" 26.83 4 5 0.8
"367" "Montet" "Satiated" "Female" 26.91 0 5 0
"368" "Montet" "Satiated" "Male" 26.93 0 5 0
"369" "Montet" "Deprived" "Male" 27.23 2 5 0.4
"370" "Montet" "Deprived" "Male" 27.43 0 5 0
"371" "Montet" "Deprived" "Male" 27.56 12 5 2.4
"372" "Montet" "Deprived" "Male" 27.83 4 5 0.8
"373" "Montet" "Satiated" "Female" 28.3 2 5 0.4
"374" "Montet" "Satiated" "Male" 28.38 2 5 0.4
"375" "Montet" "Satiated" "Female" 28.86 1 5 0.2
"376" "Murist" "Deprived" "Female" 22.23 3 4 0.75
"377" "Murist" "Satiated" "Female" 22.26 24 4 6
"378" "Murist" "Deprived" "Male" 22.5 24 4 6
"379" "Murist" "Deprived" "Male" 22.51 14 4 3.5
"380" "Murist" "Deprived" "Male" 22.58 14 4 3.5
"381" "Murist" "Satiated" "Male" 22.6 14 4 3.5
"382" "Murist" "Deprived" "Male" 22.61 14 4 3.5
"383" "Murist" "Deprived" "Female" 22.63 14 4 3.5
"384" "Murist" "Deprived" "Male" 22.66 14 4 3.5
"385" "Murist" "Satiated" "Male" 22.78 14 4 3.5
"386" "Murist" "Satiated" "Male" 22.86 14 4 3.5
"387" "Murist" "Satiated" "Female" 22.93 14 4 3.5
"388" "Murist" "Deprived" "Male" 23.1 0 4 0
"389" "Murist" "Satiated" "Male" 23.4 0 4 0
"390" "Murist" "Deprived" "Female" 23.78 0 4 0
"391" "Murist" "Deprived" "Female" 23.8 0 4 0
"392" "Murist" "Satiated" "Male" 25.7 3 4 0.75
"393" "Murist" "Satiated" "Male" 25.83 0 4 0
"394" "Murist" "Deprived" "Male" 26.23 6 4 1.5
"395" "Murist" "Satiated" "Male" 26.41 17 4 4.25
"396" "Murist" "Deprived" "Male" 27.25 5 4 1.25
"397" "Murist" "Satiated" "Male" 27.53 0 4 0
"398" "Murist" "Satiated" "Male" 27.73 0 4 0
"399" "Murist" "Deprived" "Male" 27.96 3 4 0.75
"400" "Oleyes" "Satiated" "Female" 21.76 11 5 2.2
"401" "Oleyes" "Satiated" "Female" 22.13 17 5 3.4
"402" "Oleyes" "Satiated" "Female" 22.28 17 5 3.4
"403" "Oleyes" "Deprived" "Female" 22.38 2 5 0.4
"404" "Oleyes" "Satiated" "Male" 22.4 12 5 2.4
"405" "Oleyes" "Satiated" "Female" 22.61 12 5 2.4
"406" "Oleyes" "Satiated" "Male" 22.73 13 5 2.6
"407" "Oleyes" "Satiated" "Female" 22.85 10 5 2
"408" "Oleyes" "Deprived" "Female" 22.96 16 5 3.2
"409" "Oleyes" "Satiated" "Male" 23.08 15 5 3
"410" "Oleyes" "Deprived" "Male" 23.1 12 5 2.4
"411" "Oleyes" "Deprived" "Male" 23.43 11 5 2.2
"412" "Oleyes" "Satiated" "Male" 23.65 0 5 0
"413" "Oleyes" "Satiated" "Female" 23.65 0 5 0
"414" "Oleyes" "Deprived" "Male" 23.7 7 5 1.4
"415" "Oleyes" "Deprived" "Female" 23.83 6 5 1.2
"416" "Oleyes" "Deprived" "Male" 23.96 6 5 1.2
"417" "Oleyes" "Satiated" "Male" 24.11 0 5 0
"418" "Oleyes" "Satiated" "Female" 24.13 0 5 0
"419" "Oleyes" "Deprived" "Male" 24.2 5 5 1
"420" "Oleyes" "Deprived" "Male" 24.41 5 5 1
"421" "Oleyes" "Deprived" "Male" 24.56 7 5 1.4
"422" "Oleyes" "Satiated" "Female" 24.73 2 5 0.4
"423" "Oleyes" "Satiated" "Male" 24.9 32 5 6.4
"424" "Oleyes" "Deprived" "Male" 24.93 6 5 1.2
"425" "Oleyes" "Satiated" "Male" 25.08 32 5 6.4
"426" "Oleyes" "Satiated" "Female" 25.16 5 5 1
"427" "Oleyes" "Deprived" "Female" 25.2 7 5 1.4
"428" "Oleyes" "Deprived" "Male" 25.2 7 5 1.4
"429" "Oleyes" "Satiated" "Male" 25.45 5 5 1
"430" "Oleyes" "Satiated" "Female" 25.51 0 5 0
"431" "Oleyes" "Deprived" "Male" 25.68 3 5 0.6
"432" "Oleyes" "Satiated" "Male" 25.76 7 5 1.4
"433" "Oleyes" "Deprived" "Female" 25.8 14 5 2.8
"434" "Oleyes" "Satiated" "Female" 26 6 5 1.2
"435" "Oleyes" "Satiated" "Male" 26 6 5 1.2
"436" "Oleyes" "Deprived" "Male" 26 14 5 2.8
"437" "Oleyes" "Deprived" "Male" 26.03 0 5 0
